SEXO                            ,EDAD                            ,MES                             ,ESTATURA                        ,PESO                            ,POLITICA                        ,DIGITO                          ,RESIDENCIA                      ,TRANSPORTE                      ,TIEMPO                          ,PROBLEMA                        ,Col_12                          ,Col_13                          ,Col_14                          ,Col_15                          ,Col_16                          ,Col_17                          ,Col_18                          ,Col_19                          ,Col_20                          
chicos               ,23            ,9             ,176           ,74            ,derecha              ,6             ,piso                 ,coche                ,10            ,paro                 ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,20            ,11            ,175           ,77            ,pasan                ,9             ,residencia           ,coche                ,15            ,desigualdad          ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,22            ,4             ,186           ,73            ,centro               ,7             ,otra                 ,moto/bici            ,8             ,terrorismo           ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,21            ,12            ,183           ,74            ,derecha              ,5             ,familia              ,coche                ,30            ,terrorismo           ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,21            ,5             ,175           ,77            ,izquierda            ,7             ,familia              ,coche                ,20            ,desigualdad          ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,21            ,9             ,180           ,90            ,centro               ,7             ,piso                 ,a pie                ,15            ,droga                ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,19            ,12            ,180           ,60            ,pasan                ,0             ,piso                 ,coche                ,4             ,desigualdad          ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicas               ,20            ,3             ,163           ,60            ,centro               ,6             ,residencia           ,t publico            ,20            ,terrorismo           ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicas               ,20            ,4             ,164           ,55            ,derecha              ,3             ,familia              ,coche                ,15            ,terrorismo           ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,20            ,12            ,180           ,64            ,izquierda            ,4             ,familia              ,a pie                ,20            ,paro                 ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicas               ,21            ,4             ,165           ,61            ,derecha              ,2             ,familia              ,t publico            ,30            ,valores              ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,24            ,12            ,172           ,89            ,izquierda            ,1             ,piso                 ,                     ,30            ,paro                 ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,22            ,9             ,174           ,80            ,derecha              ,7             ,familia              ,coche                ,20            ,paro                 ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,25            ,8             ,170           ,67            ,pasan                ,5             ,piso                 ,a pie                ,20            ,paro                 ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicas               ,21            ,2             ,160           ,64            ,derecha              ,8             ,otra                 ,t publico            ,45            ,terrorismo           ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicas               ,20            ,4             ,158           ,54            ,pasan                ,2             ,familia              ,t publico            ,40            ,paro                 ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicas               ,21            ,9             ,163           ,56            ,centro               ,3             ,familia              ,t publico            ,45            ,droga                ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,25            ,7             ,174           ,77            ,derecha              ,2             ,otra                 ,t publico            ,45            ,droga                ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,20            ,6             ,178           ,73            ,pasan                ,7             ,familia              ,t publico            ,60            ,paro                 ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicas               ,19            ,12            ,167           ,53            ,centro               ,8             ,familia              ,coche                ,20            ,paro                 ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,20            ,11            ,174           ,65            ,pasan                ,5             ,familia              ,moto/bici            ,20            ,valores              ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,22            ,12            ,172           ,66            ,pasan                ,4             ,familia              ,moto/bici            ,30            ,paro                 ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,20            ,10            ,174           ,74            ,pasan                ,7             ,piso                 ,a pie                ,6             ,valores              ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,20            ,9             ,178           ,69            ,izquierda            ,7             ,otra                 ,t publico            ,45            ,                     ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicas               ,23            ,9             ,165           ,55            ,pasan                ,2             ,familia              ,moto/bici            ,35            ,terrorismo           ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,21            ,8             ,175           ,67            ,pasan                ,4             ,familia              ,a pie                ,25            ,paro                 ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,19            ,12            ,175           ,65            ,centro               ,3             ,piso                 ,a pie                ,15            ,terrorismo           ,              ,              ,              ,              ,              ,              ,              ,              ,                     
